	featureCounts on dataset 196 and 292: Counts	featureCounts on dataset 196 and 296: Counts	featureCounts on dataset 196 and 300: Counts	featureCounts on dataset 196 and 304: Counts	featureCounts on dataset 196 and 290: Counts	featureCounts on dataset 196 and 294: Counts	featureCounts on dataset 196 and 298: Counts	featureCounts on dataset 196 and 302: Counts
ENSG00000165113.13	112.398521407674	163.919181076949	186.227317253719	110.888362626658	73.6243523050094	95.8324243298561	94.4791878833896	65.3359566581106
ENSG00000226877.9	0.685356837851668	0	0	0	1.67328073420476	0	0	0
ENSG00000231616.9	3.42678418925834	1.93987196540768	4.6849639560684	1.98014933261888	2.50992110130714	0.930411886697632	0	3.3794460340402
ENSG00000165115.15	223.426329139644	196.89700448888	154.603810550257	214.846202589149	176.531117458602	95.8324243298561	103.477205777046	167.845819690663
ENSG00000165118.15	349.531987304351	522.79549467737	391.194490331712	403.950463854252	251.828750497816	364.721459585472	394.413117671928	373.992027767116
ENSG00000165119.22	9706.70889449318	10411.292838343	10588.0185407146	9760.15606047848	13428.9145323603	11884.1510287889	11434.981073188	11350.4327463297
ENSG00000284179.1	0	0	0	0	0	0	0	0
ENSG00000235298.1	5.48285470281334	1.93987196540768	8.19868692311971	7.92059733047554	1.67328073420476	6.51288320688343	5.99867859577077	2.25296402269347
ENSG00000178966.17	166.541711597955	186.227708679137	111.267893956625	180.193589268318	349.715673448795	240.046266767989	361.420385395189	185.869531872211
ENSG00000202523.1	0	0	0	0	0.83664036710238	0	0	0
ENSG00000227463.3	0	1.93987196540768	0	0	0	0	0	0
ENSG00000270166.1	0	0	0	0	0	0	0	0
ENSG00000197506.8	603.114017309468	1196.90100265654	898.341838576117	812.851301040052	436.726271627442	185.151965452829	64.4857949045358	226.422884280694
ENSG00000233262.1	0	0	1.1712409890171	0	0	0	0	2.25296402269347
ENSG00000285987.1	0.685356837851668	3.87974393081536	0	2.97022399892833	0	2.7912356600929	0	0
ENSG00000228095.3	0	0	0	0	0	0	0	0
ENSG00000148053.18	2407.65857137291	5950.55725388806	5345.54387387405	4713.74548629925	160.634950483657	2222.75399732064	457.399242927521	700.671811057669
ENSG00000226590.1	0	0	0	0	0	0	0	0
ENSG00000285556.1	0	0	0	0	0	0	0	0
ENSG00000287930.1	0	0	0	0	0	0	0	0
ENSG00000285634.3	3.42678418925834	2.90980794811152	0	2.97022399892833	0	1.86082377339526	0	0
ENSG00000227412.1	0	0	0	0	0	0	0	0
ENSG00000135049.16	317.320215925322	292.92066677656	261.186740550814	334.645237212591	607.400906516328	608.489373900252	590.869841683421	443.833912470613
ENSG00000234424.2	0.685356837851668	0	3.5137229670513	0.990074666309442	0.83664036710238	0	0	3.3794460340402
ENSG00000229454.1	0	0	0	0	0	0	0	0
ENSG00000230303.6	27.4142735140667	15.5189757232614	8.19868692311971	16.8312693272605	2.50992110130714	0.930411886697632	0	7.88537407942714
ENSG00000290924.1	43.1774807846551	22.3085276021883	18.7398558242736	26.7320159903549	33.4656146840952	28.8427684876266	14.9966964894269	14.6442661475075
ENSG00000165121.13	6.85356837851668	1.93987196540768	5.85620494508551	3.96029866523777	10.0396844052286	6.51288320688343	5.99867859577077	3.3794460340402
ENSG00000289214.1	5.48285470281334	0.969935982703841	4.6849639560684	1.98014933261888	10.0396844052286	9.30411886697632	1.49966964894269	4.50592804538694
ENSG00000213711.3	0	0	0	0	0	0	0	3.3794460340402
ENSG00000231741.2	1.37071367570334	0	0	0	0	0	0	0
ENSG00000135040.16	628.47222030998	713.872883270027	464.982672639789	691.072117083991	722.857277176456	723.860447850758	560.876448704567	714.18959519383
ENSG00000135052.16	1820.30776133403	3489.82966576842	1790.82747220715	2449.44472444956	3836.83272353151	3456.4801590817	14143.3844591785	2632.58846051732
ENSG00000287333.1	1.37071367570334	0	1.1712409890171	0	0.83664036710238	0	0	1.12648201134673
ENSG00000233713.2	0	0	0	0	0	0	0	0
ENSG00000187753.13	1.37071367570334	0	9.36992791213681	3.96029866523777	5.01984220261428	0.930411886697632	0	0
ENSG00000270688.1	0	0	0	0	0	0	0	0
ENSG00000223012.1	0	0	0	0	0	0	0	0
ENSG00000135070.15	883.4249639908	1063.04983704341	1056.45937209343	825.722271702075	1136.15761852503	903.429941983401	850.312690950507	791.916853976754
ENSG00000083223.18	873.144611423025	1047.53086132015	610.21655527791	958.39227698754	686.881741391054	1155.57156327846	1391.69343421882	1724.64395937185
