"name","selected","shared name"
"FGF2","false","FGF2"
"MME","false","MME"
"GPC3","false","GPC3"
"KRT14","false","KRT14"
"ABCG2","false","ABCG2"
"AGTR1","false","AGTR1"
"PTN","false","PTN"
"GATA3","false","GATA3"
"KIT","false","KIT"
"ESR1","false","ESR1"
