"name","selected","shared name"
"KIF2C","false","KIF2C"
"CDK1","false","CDK1"
"BUB1","false","BUB1"
"CCNA2","false","CCNA2"
"KIF11","false","KIF11"
"CDCA8","false","CDCA8"
"NEK2","false","NEK2"
"CENPF","false","CENPF"
"KIF4A","false","KIF4A"
"KIF20A","false","KIF20A"
