ENSG00000060718.22	1514.65486862111	6.75666259535723	0.486351241984676	13.8925575018273	7.02803183140194e-44	1.64807346446376e-39
ENSG00000136883.16	405.624683792922	-3.5129071386979	0.272803101544901	-12.8770791783674	6.05852782306561e-38	7.10362387254442e-34
ENSG00000130208.10	1236.27525778266	3.05870514962929	0.251211420774797	12.1758204312348	4.18167954011001e-34	3.26867950718599e-30
ENSG00000165474.8	158.202417255368	3.38938874255478	0.328615027840151	10.3141623340595	6.08092555834824e-25	3.56494260858165e-21
ENSG00000174827.14	132.335724777429	-5.1805986789792	0.507661360573803	-10.2048315694613	1.88648179945119e-24	8.84759963942607e-21
ENSG00000123500.10	763.933293831195	5.5681669740201	0.559227556644256	9.95688947703663	2.35309807965941e-23	9.19669166133552e-20
ENSG00000196611.6	487.118257506524	7.37852354280391	0.745952007933593	9.89141856892859	4.53554695582322e-23	1.51940823020078e-19
ENSG00000122641.11	745.394377162905	3.71296665630525	0.37854431079736	9.80853905447505	1.03455475582134e-22	3.03253862800131e-19
ENSG00000230838.2	127.53007947803	6.35444163267547	0.665637202621708	9.54640396847951	1.34276336731378e-21	3.4986445515009e-18
ENSG00000137872.17	369.598352003728	-2.64570108884817	0.283667130093537	-9.32678061069594	1.09135456010688e-20	2.55922644345063e-17
ENSG00000135063.20	563.189217825478	-3.42801502159357	0.37253000915222	-9.20198356474645	3.51402088597494e-20	7.49125361601021e-17
ENSG00000180264.12	127.657820523585	-5.68119890055784	0.639987428046973	-8.87704765997507	6.8658387457856e-19	1.34169932157227e-15
ENSG00000115593.15	148.170002082003	-4.68352437751824	0.530913324583494	-8.82163652832129	1.12798881270428e-18	2.03471828137811e-15
ENSG00000163879.11	364.815360805395	-2.98738706134068	0.343151126471718	-8.70574749981737	3.15488503739239e-18	5.28443243763225e-15
ENSG00000137745.13	159.509379905479	7.38928923201677	0.858861635050286	8.6035851765391	7.72638661616129e-18	1.20789177432655e-14
ENSG00000134533.6	1231.17246394626	-2.49192201688388	0.29731261116185	-8.38148777862416	5.22628297522855e-17	7.65977098556935e-14
ENSG00000164694.17	576.551085543697	4.15935543274722	0.500515869112607	8.3101369795159	9.55916633850974e-17	1.31860265081208e-13
ENSG00000170373.9	389.594964858797	8.05628268761693	0.993306585654647	8.11057009383197	5.0382814049889e-16	6.56376105261054e-13
